ville,temperature_type,jour,date,slug,option,token_yes,bestBid,bidVolume,bestAsk,askVolume,_collecte_le
New york,highest,J+0,2026-09-10,highest-temperature-in-nyc-on-september-10-2026,75°F or below,29443654421148712106750532876003903890563744000429937965121942921959925104056,,,0.001,1864.0,2026-09-10T06:01:00.808426+00:00
New york,highest,J+0,2026-09-10,highest-temperature-in-nyc-on-september-10-2026,76-77°F,48165167556779779827762620291992422553708970478909091316923515161751764195099,,,0.001,200.0,2026-09-10T06:01:00.808426+00:00
New york,highest,J+0,2026-09-10,highest-temperature-in-nyc-on-september-10-2026,78-79°F,17622733095513855622556556367409679355101853234956842278868789264628856558875,,,0.002,41.25,2026-09-10T06:01:00.808426+00:00
New york,highest,J+0,2026-09-10,highest-temperature-in-nyc-on-september-10-2026,80-81°F,65472036641595736111291389174325786038084471323100705800927550670271770428152,0.001,120.3,0.01,10.0,2026-09-10T06:01:00.808426+00:00
New york,highest,J+0,2026-09-10,highest-temperature-in-nyc-on-september-10-2026,82-83°F,98983443125465737249073792970677759947137261753477002879455846992634753554174,0.01,559.19,0.04,170.66,2026-09-10T06:01:00.808426+00:00
New york,highest,J+0,2026-09-10,highest-temperature-in-nyc-on-september-10-2026,84-85°F,65171811345723150156396566640260304917924379154055915005329345169377785680418,0.09,10.41,0.1,71.19,2026-09-10T06:01:00.808426+00:00
New york,highest,J+0,2026-09-10,highest-temperature-in-nyc-on-september-10-2026,86-87°F,60610156014832583057800002316538420364716260641461028750135166341032933569498,0.33,5.0,0.36,21.0,2026-09-10T06:01:00.808426+00:00
New york,highest,J+0,2026-09-10,highest-temperature-in-nyc-on-september-10-2026,88-89°F,75195890453994770768629544597827063155235591508189718265682732283585192312467,0.43,16.71,0.47,10.0,2026-09-10T06:01:00.808426+00:00
New york,highest,J+0,2026-09-10,highest-temperature-in-nyc-on-september-10-2026,90-91°F,99638874201804893723237421137544782126005943517119345647936073113503422253726,0.09,20.0,0.11,129.42,2026-09-10T06:01:00.808426+00:00
New york,highest,J+0,2026-09-10,highest-temperature-in-nyc-on-september-10-2026,92-93°F,101078178819873856756770605216491537390800156222045326075705720085172584781944,0.009,193.0,0.019,10.0,2026-09-10T06:01:00.808426+00:00
